team_id,affiliated_team_id
31,186
31,206
31,221
31,257
31,294
31,336
31,405
31,608
32,166
32,205
32,231
32,275
32,301
32,322
32,619
33,165
33,195
33,227
33,261
33,277
33,332
33,598
33,610
34,159
34,191
34,225
34,271
34,287
34,330
34,584
34,739
35,163
35,204
35,234
35,274
35,334
35,651
35,593
36,171
36,202
36,232
36,251
36,295
36,312
36,622
36,611
37,169
37,200
37,236
37,248
37,333
37,329
37,594
37,618
38,157
38,193
38,245
38,264
38,284
38,327
38,609
39,184
39,188
39,218
39,269
39,291
39,337
39,601
40,170
40,196
40,244
40,252
40,288
40,325
40,616
40,625
41,175
41,199
41,237
41,268
41,282
41,319
41,606
42,183
42,216
42,233
42,259
42,289
42,304
42,403
42,588
42,649
43,174
43,212
43,230
43,266
43,300
43,338
43,736
43,586
44,181
44,209
44,223
44,254
44,340
44,313
44,596
45,177
45,211
45,226
45,247
45,339
45,317
45,604
46,179
46,201
46,235
46,267
46,335
46,309
46,620
47,160
47,208
47,243
47,255
47,306
47,331
47,591
48,161
48,192
48,246
48,272
48,280
48,302
48,326
48,408
48,599
48,612
49,162
49,187
49,239
49,276
49,278
49,308
49,406
49,602
49,587
50,173
50,214
50,220
50,253
50,290
50,315
50,603
51,158
51,198
51,241
51,265
51,286
51,323
51,595
51,624
52,168
52,194
52,228
52,263
52,283
52,305
52,328
52,592
53,180
53,215
53,224
53,249
53,293
53,361
53,600
54,182
54,203
54,217
54,260
54,296
54,314
54,589
54,738
55,185
55,190
55,219
55,270
55,297
55,316
55,590
56,172
56,210
56,238
56,258
56,285
56,307
56,320
56,607
57,164
57,207
57,240
57,273
57,279
57,303
57,404
57,597
57,623
58,178
58,213
58,222
58,256
58,292
58,310
58,585
58,613
59,176
59,189
59,242
59,250
59,298
59,299
59,324
59,617
60,167
60,197
60,229
60,262
60,281
60,318
60,605
411,423
412,430
413,424
414,433
415,425
416,426
417,429
418,431
419,432
420,434
421,427
422,428
439,450
440,456
441,455
442,451
443,454
444,453
445,458
446,452
448,457
459,731
460,464
461,465
462,466
463,467
