team_id,player_id,list_id
31,1442,1
31,27218,2
31,37312,3
31,51389,1
31,20111,2
31,101,3
31,25145,1
31,1390,2
31,27218,3
31,42397,1
31,25203,2
31,42397,3
31,33336,1
31,38521,2
31,33999,3
31,27218,1
31,30472,2
31,38621,3
31,45349,1
31,51389,2
31,25203,3
31,33417,1
31,38571,2
31,51389,3
31,25022,1
31,42397,2
31,20111,3
31,37312,1
31,25283,2
31,39033,3
31,38629,1
31,25145,2
31,25022,3
31,36480,1
31,1442,2
31,26904,3
31,38571,1
31,38629,2
31,30472,3
31,29637,1
31,101,2
31,38571,3
31,28714,1
31,39033,2
31,38629,3
31,39354,1
31,38621,2
31,39354,3
31,30472,1
31,33999,2
31,1390,3
31,38521,1
31,74,2
31,40293,3
31,39033,1
31,1407,2
31,1407,3
31,36477,1
31,39460,2
31,35560,3
31,20111,1
31,39354,2
31,20479,3
31,39460,1
31,25022,2
31,74,3
31,33999,1
31,40293,2
31,33336,3
31,25283,1
31,33336,2
31,28544,3
31,74,1
31,36477,2
31,38850,3
31,1407,1
31,28889,2
31,38749,3
31,40293,1
31,25283,3
31,38850,2
31,2476,3
31,101,1
31,21531,2
31,1442,3
31,30236,1
31,36480,3
31,35560,2
31,39460,3
31,21531,1
31,30236,3
31,36480,2
31,25145,3
31,38749,1
31,49668,2
31,28889,3
31,35560,1
31,37312,2
31,38521,3
31,1390,1
31,30236,2
31,21531,3
31,38749,2
31,36477,3
31,49668,1
31,29463,3
31,28889,1
31,49668,3
31,38850,1
31,1363,3
31,38621,1
31,25203,1
31,45294,1
31,25742,1
32,38741,1
32,27194,2
32,35484,3
32,37212,1
32,25201,2
32,1569,3
32,33993,1
32,22377,2
32,32791,3
32,26952,1
32,41172,2
32,22627,3
32,24687,1
32,35484,2
32,25201,3
32,30490,1
32,26879,2
32,22377,3
32,36642,1
32,48550,2
32,33594,3
32,33594,1
32,33594,2
32,40932,3
32,36417,1
32,25479,2
32,18794,3
32,35484,1
32,25384,2
32,40365,3
32,18794,1
32,24414,2
32,27194,3
32,22627,1
32,39020,2
32,41172,3
32,33889,1
32,26952,2
32,38741,3
32,35920,1
32,35920,2
32,38553,3
32,27194,1
32,25194,2
32,25479,3
32,26879,1
32,24687,2
32,25384,3
32,25201,1
32,33889,2
32,24414,3
32,48550,1
32,18794,2
32,26879,3
32,28878,2
32,39020,3
32,36337,1
32,28962,2
32,24687,3
32,28962,1
32,32791,2
32,25194,3
32,22377,1
32,38741,2
32,33993,3
32,41172,1
32,33993,2
32,28878,3
32,25479,1
32,36642,2
32,22613,3
32,25384,1
32,22627,2
32,35920,3
32,41174,1
32,22613,2
32,28628,3
32,24414,1
32,41174,2
32,33889,3
32,38553,1
32,38553,2
32,41174,3
32,23739,1
32,28628,2
32,37273,3
32,39020,1
32,40365,2
32,25334,3
32,40365,1
32,40932,2
32,38807,3
32,40932,1
32,1569,2
32,48550,3
32,1569,1
32,38807,2
32,36417,3
32,25194,1
32,37273,2
32,26952,3
32,28878,1
32,25334,2
32,30490,3
32,38807,1
32,36417,2
32,37212,3
32,37273,1
32,30490,2
32,30738,3
32,28628,1
32,37212,2
32,36642,3
32,25334,1
32,30738,2
32,28962,3
32,22613,1
32,36337,2
32,36337,3
32,32791,1
32,30738,1
33,18968,1
33,40335,2
33,18968,3
33,19570,1
33,34452,2
33,20153,3
33,26498,2
33,23059,3
33,23059,1
33,27712,2
33,18883,3
33,37315,1
33,37595,2
33,37315,3
33,40105,1
33,38740,2
33,49731,3
33,36119,1
33,39231,2
33,38158,3
33,31093,1
33,19478,2
33,31093,3
33,22114,1
33,38154,2
33,40335,3
33,19478,1
33,2429,2
33,19478,3
33,38397,1
33,40105,2
33,38154,3
33,35974,1
33,18968,2
33,40105,3
33,37683,1
33,23059,2
33,37683,3
33,35837,1
33,31093,2
33,1439,3
33,39231,1
33,38397,2
33,22114,3
33,34452,1
33,19391,2
33,2429,3
33,19391,1
33,18883,2
33,19391,3
33,37595,1
33,30589,2
33,39231,3
33,30589,1
33,20153,2
33,30589,3
33,18883,1
33,19514,2
33,39001,3
33,26498,1
33,38158,2
33,26498,3
33,41093,1
33,22114,2
33,32179,3
33,35510,1
33,37683,2
33,19514,3
33,39001,1
33,35837,2
33,37595,3
33,38158,1
33,41093,2
33,41093,3
33,32179,1
33,35510,2
33,39293,3
33,39001,2
33,35837,3
33,151,1
33,36119,2
33,35425,3
33,40335,1
33,37315,2
33,38397,3
33,20153,1
33,32179,2
33,19570,3
33,151,2
33,35974,3
33,19570,2
33,34452,3
33,27712,1
33,35974,2
33,27712,3
33,38740,1
33,38740,3
33,35510,3
33,51776,3
33,20502,3
33,34026,3
33,38154,1
33,36119,3
33,2429,1
33,151,3
33,19514,1
34,37036,1
34,27791,2
34,37049,3
34,37045,1
34,37049,2
34,30307,3
34,37049,1
34,1369,2
34,35967,3
34,36478,1
34,37045,2
34,38771,3
34,37285,1
34,37385,2
34,35142,3
34,35142,1
34,15,2
34,15,3
34,1369,1
34,37036,2
34,37045,3
34,25917,1
34,35967,2
34,36522,3
34,33600,1
34,28398,2
34,37707,3
34,27791,1
34,36522,2
34,1369,3
34,38868,1
34,38758,2
34,21,3
34,25621,1
34,33600,2
34,37385,3
34,28398,1
34,36478,2
34,37699,3
34,38758,1
34,30307,2
