team_id,name,abbr,nickname,logo_file_name,city_id,park_id,league_id,sub_league_id,division_id,nation_id,parent_team_id,level,prevent_any_moves,human_team,human_id,gender,background_color_id,text_color_id,ballcaps_main_color_id,ballcaps_visor_color_id,jersey_main_color_id,jersey_away_color_id,jersey_secondary_color_id,jersey_pin_stripes_color_id,allstar_team,historical_id
85,"American League","AL","All-Stars","american_league_all-stars.png",0,17,100,0,0,0,0,1,0,0,0,0,"#9B0101","#000000","#BF3102","#000000","#FFFFFF","#FFFFFF","#BF3102","#BF3102",1,""
86,"National League","NL","All-Stars","national_league_all-stars.png",0,23,100,1,0,0,0,1,0,0,0,0,"#1E1E9E","#FFFFFF","#E4111A","#4372B3","#FFFFFF","#FFFFFF","#E4111A","#E4111A",1,""
157,"Columbus","CLM","Clippers","columbus_clippers.png",14625,81,101,0,2,206,38,2,0,0,0,0,"#DA291C","#C1C6C8","#DA291C","#C1C6C8","#DA291C","#DA291C","#C1C6C8","#C1C6C8",0,""
158,"Lehigh Valley","LHV","IronPigs","lehigh_valley_ironpigs.png",1707,82,101,0,0,206,51,2,0,0,0,0,"#A7A8AA","#041E42","#A7A8AA","#041E42","#A7A8AA","#A7A8AA","#041E42","#041E42",0,""
159,"Pawtucket","PAW","Red Sox","pawtucket_red_sox.png",63278,83,101,0,0,206,34,2,0,0,0,0,"#C8102E","#0C2340","#C8102E","#0C2340","#C8102E","#C8102E","#0C2340","#0C2340",0,""
160,"Rochester","ROC","Red Wings","rochester_red_wings.png",66478,84,101,0,0,206,47,2,0,0,0,0,"#DA291C","#FFCD00","#DA291C","#FFCD00","#DA291C","#DA291C","#FFCD00","#FFCD00",0,""
161,"Scranton WB","SCR","RailRiders","scranton_wb_railriders.png",51736,85,101,0,0,206,48,2,0,0,0,0,"#85714D","#0C2340","#85714D","#0C2340","#85714D","#85714D","#0C2340","#0C2340",0,""
162,"Las Vegas","LVG","51s","las_vegas_51s.png",43942,86,102,1,1,206,49,2,0,0,0,0,"#7C878E","#003A70","#7C878E","#003A70","#7C878E","#7C878E","#003A70","#003A70",0,""
163,"Charlotte","CHR","Knights","charlotte_knights.png",25188,87,101,0,1,206,35,2,0,0,0,0,"#2D2926","#8A8D8F","#2D2926","#8A8D8F","#2D2926","#2D2926","#8A8D8F","#8A8D8F",0,""
164,"Durham","DUR","Bulls","durham_bulls.png",19502,88,101,0,1,206,57,2,0,0,0,0,"#A1561C","#001489","#A1561C","#001489","#A1561C","#A1561C","#001489","#001489",0,""
165,"Norfolk","NOR","Tides","norfolk_tides.png",56019,89,101,0,1,206,33,2,0,0,0,0,"#418FDE","#8A8D8F","#418FDE","#8A8D8F","#418FDE","#418FDE","#8A8D8F","#8A8D8F",0,""
166,"Gwinnett","GWI","Braves","gwinnett_braves.png",44165,90,101,0,1,206,32,2,0,0,0,0,"#BA0C2F","#FFFFFF","#BA0C2F","#FFFFFF","#BA0C2F","#BA0C2F","#FFFFFF","#FFFFFF",0,""
167,"Syracuse","SYR","Chiefs","syracuse_chiefs.png",77297,91,101,0,0,206,60,2,0,0,0,0,"#7C878E","#004B87","#7C878E","#004B87","#7C878E","#7C878E","#004B87","#004B87",0,""
168,"Indianapolis","IND","Indians","indianapolis_indians.png",34491,92,101,0,2,206,52,2,0,0,0,0,"#C8102E","#B2B4B2","#C8102E","#B2B4B2","#C8102E","#C8102E","#B2B4B2","#B2B4B2",0,""
169,"Louisville","LOU","Bats","louisville_bats.png",42078,93,101,0,2,206,37,2,0,0,0,0,"#685BC7","#FFFFFF","#685BC7","#FFFFFF","#685BC7","#685BC7","#FFFFFF","#FFFFFF",0,""
170,"Toledo","TOL","Mud Hens","toledo_mud_hens.png",80442,94,101,0,2,206,40,2,0,0,0,0,"#F2A900","#D50032","#F2A900","#D50032","#F2A900","#F2A900","#D50032","#D50032",0,""
171,"Iowa","IOW","Cubs","iowa_cubs.png",20253,95,102,0,0,206,36,2,0,0,0,0,"#002F6C","#C8102E","#002F6C","#C8102E","#002F6C","#002F6C","#C8102E","#C8102E",0,""
172,"Memphis","MEM","Redbirds","memphis_redbirds.png",49583,96,102,0,1,206,56,2,0,0,0,0,"#BA0C2F","#FFFFFF","#BA0C2F","#FFFFFF","#BA0C2F","#BA0C2F","#FFFFFF","#FFFFFF",0,""
173,"Nashville","NAS","Sounds","nashville_sounds.png",54298,97,102,0,1,206,50,2,0,0,0,0,"#D22630","#FFA300","#D22630","#FFA300","#D22630","#D22630","#FFA300","#FFA300",0,""
174,"Omaha","OMA","Storm Chasers","omaha_storm_chasers.png",57291,98,102,0,0,206,43,2,0,0,0,0,"#85714D","#002D72","#85714D","#002D72","#85714D","#85714D","#002D72","#002D72",0,""
175,"New Orleans","NRL","Zephyrs","new_orleans_zephyrs.png",55156,99,102,0,1,206,41,2,0,0,0,0,"#041E42","#8A8D8F","#041E42","#8A8D8F","#041E42","#041E42","#8A8D8F","#8A8D8F",0,""
176,"Buffalo","BUF","Bisons","buffalo_bisons.png",12314,100,101,0,0,206,59,2,0,0,0,0,"#001489","#BA0C2F","#001489","#BA0C2F","#001489","#001489","#BA0C2F","#BA0C2F",0,""
177,"Oklahoma City","OKL","Dodgers","oklahoma_city_dodgers.png",57035,101,102,0,0,206,45,2,0,0,0,0,"#002F6C","#A2AAAD","#002F6C","#A2AAAD","#002F6C","#002F6C","#A2AAAD","#A2AAAD",0,""
178,"Round Rock","RR","Express","round_rock_express.png",65670,102,102,0,1,206,58,2,0,0,0,0,"#002D72","#A2AAAD","#002D72","#A2AAAD","#002D72","#002D72","#A2AAAD","#A2AAAD",0,""
179,"Colorado Springs","CS","Sky Sox","colorado_springs_sky_sox.png",14578,103,102,0,0,206,46,2,0,0,0,0,"#041C2C","#BA0C2F","#041C2C","#BA0C2F","#041C2C","#041C2C","#BA0C2F","#BA0C2F",0,""
